Title name,Print-ISSN,E-ISSN,Date of acceptance,Publisher
Itinera,,20399251,Dec-2021,University of Milan
Journal of Computational Social Science,24322717,24322725,Dec-2021,Springer
Journal of Global Innovations in Agricultural Sciences,27884538,27884546,Dec-2021,"Society for Innovative Agriculture, University of Agriculture, Faisalabad"
Advances in Applied Energy,,26667924,Dec-2021,Elsevier
Upstream Oil and Gas Technology,,26662604,Dec-2021,Elsevier
Advances in Bioenergy,,24680125,Dec-2021,Elsevier
Smart Energy,,26669552,Dec-2021,Elsevier
Folia Amazonica,10185674,24101184,Dec-2021,"Instituto de Investigaciones de la Amazonía Peruana (IIAP), Iquitos, Peru"
Revista de Artes Marciales Asiaticas,,21740747,Dec-2021,Universidad de León
World Water Policy,,2639541X,Dec-2021,Wiley-Blackwell
Latina et Graeca,0350414X,27172843,Dec-2021,"Latina et Graeca, Institute for Classical Languages and Ancient Civilization"
Letras (Peru),03784878,20715072,Dec-2021,"Facultad de Letras y Ciencias Humanas, Universidad Nacional Mayor de San Marcos - Peru"
NAR Genomics and Bioinformatics,,26319268,Dec-2021,Oxford University Press
Linguistic Landscape,22149953,22149961,Dec-2021,John Benjamins Publishing Co.
Contrastive Pragmatics,26660385,26660393,Dec-2021,Brill
Language Teaching for Young Learners,25892053,2589207X,Dec-2021,John Benjamins Publishing Co.
Przeglad Socjologii Jakosciowej,17338069,,Dec-2021,Lodz University Press
Southern Semiotic Review,,22022783,Dec-2021,Playscript
Journal of Monolingual and Bilingual Speech,26318407,26318415,Dec-2021,Equinox Publishing
Instructed Second Language Acquisition,23984155,23984163,Dec-2021,Equinox Publishing
"Tourism, Hospitality and Event Management",25104993,25105000,Dec-2021,Springer
Brazilian English Language Teaching Journal,,21783640,Dec-2021,EDIPUCRS
Frontiers in Sustainable Cities,,26249634,Dec-2021,Frontiers Media S.A.
Paediatric Surgery (Ukraine),23040041,25211358,Dec-2021,"Group of Companies Med Expert, LLC"
Indian Dermatology Online Journal,22295178,22495673,Dec-2021,Wolters Kluwer: Medknow Publications
Pacific Asia Journal of the Association for Information Systems,19437536,19437544,Dec-2021,AIS Association for Information Systems
AIS Transactions on Replication Research,,24733458,Dec-2021,AIS Association for Information Systems
"Canrea Journal: Food Technology, Nutritions, and Culinary Journal",,26219468,Dec-2021,Universitas Hasanuddin
Revista Colombiana de Nefrologia,23897708,25005006,Dec-2021,Asociación Colombiana de Nefrología e Hipertensión Arterial (Asocolnef)
EAI Endorsed Transactions on Scalable Information Systems,,20329407,Dec-2021,European Alliance for Innovation
"IEEE Transactions on Biometrics, Behavior, and Identity Science",,26376407,Dec-2021,IEEE Institute of Electrical and Electronics Engineers
Revista de Gestao,18092276,21778736,Dec-2021,Emerald
European Journal for Qualitative Research in Psychotherapy,,17567599,Dec-2021,European Association for Integrative Psychotherapy
Veterinarski Glasnik,03502457,24060771,Dec-2021,"University of Belgrade, Faculty of Veterinary Medicine"
Advances in Motivation Science,22150919,22150927,Dec-2021,Elsevier
"Annual Review of Control, Robotics, and Autonomous Systems",,25735144,Dec-2021,Annual Reviews
CESARE Conference Publications,,27886204,Dec-2021,Jordan University of Science & Technology
Journal of Clinical Hepatology,10015256,,Dec-2021,Editorial Board of Journal of Clinical Hepatology
Cognitive Computation and Systems,,25177567,Dec-2021,Wiley-Blackwell
IET Cyber-Systems and Robotics,,26316315,Dec-2021,Wiley-Blackwell
IEEE Open Journal of the Communications Society,,2644125X,Dec-2021,IEEE Institute of Electrical and Electronics Engineers
Acta Linguistca Petropolitana,23065737,26584069,Dec-2021,"Institute for Linguistic Studies, Russian Academy of Sciences"
Indo-European Linguistics and Classical Philology Yearbook,23069015,26586452,Dec-2021,Russian Academy of Sciences
Market and Competition Law Review,21840008,,Dec-2021,Universidade Católica Editora - Porto
Pravni Zapisi,22172815,24061387,Dec-2021,Union University Law School Belgrade
A and C - Revista de Direito Administrativo and Constitucional,15163210,19844182,Dec-2021,Instituto de Direito Romeu Felipe Bacellar
Revista de Direito Economico e Socioambiental,2179345X,21798214,Dec-2021,PUCPRESS
Revista Eurolatinoamericana de Derecho Administrativo,,2362583X,Dec-2021,Red Docente Eurolatinoamericana de Derecho Administrativo
Journal of Southeast Asian Human Rights,,25992147,Dec-2021,University of Jember
Journal of Midwifery and Reproductive Health,,23454792,Dec-2021,Mashhad University of Medical Sciences
Knihy a Dejiny,12108510,25712322,Dec-2021,Library of the Czech Academy of Sciences
Philosophy Kitchen,,23851945,Dec-2021,Università degli studi di Torino
Palgrave Studies in Nineteenth-Century Writing and Culture,26346494,26346508,Dec-2021,Springer:  Palgrave Macmillan
Journal of Applied Youth Studies,22049193,22049207,Dec-2021,Springer
Postdigital Science and Education,,25244868,Dec-2021,Springer
Pharos Journal of Theology,,24143324,Dec-2021,AfricaJournals
Studies in Peoples History,23484489,23497718,Dec-2021,Sage
Thammasat Review,08595747,26300303,Dec-2021,Thammasat University
Journal of Foreign Languages and Cultures,20964374,,Dec-2021,Hunan Normal University Press
Immuno-Oncology and Technology,,25900188,Dec-2021,Elsevier
Marine Corps History,2381375X,23813768,Dec-2021,Marine Corps University Press
AVS Quantum Science,,26390213,Dec-2021,AIP American Institute of Physics
Kwartalnik Historii Nauki i Techniki,0023589X,26574020,Dec-2021,"Institute for the History of Science, Polish Academy of Sciences"
Small Enterprise Research,13215906,2204230X,Dec-2021,Informa:  Taylor & Francis
International Journal of Analysis and Applications,,22918639,Dec-2021,"EtaMaths Publishing, Canada"
"Probability, Uncertainty and Quantitative Risk",20959672,23670126,Dec-2021,American Institute of Mathematical Sciences
Journal of Reliability and Statistical Studies,09748024,22295666,Dec-2021,River Publishers
Studies in Public Choice,09244700,,Dec-2021,Springer
Journal of Financial Data Science,26403943,26403951,Dec-2021,Pageant Media
"Public Administration, Governance and Globalization",25122347,25122363,Dec-2021,Springer
Arthaniti: Journal of Economic Theory and Practice,09767479,25172654,Dec-2021,Sage
Competitive Government: Public Private Partnerships,25244183,25244191,Dec-2021,Springer
SpringerBriefs in Regional Science,21920427,21920435,Dec-2021,Springer
Springer Proceedings in Business and Economics,21987246,21987254,Dec-2021,Springer
Radiology: Imaging Cancer,,2638616X,Dec-2021,Radiological Society of North America
Public Anthropologist,25891707,25891715,Dec-2021,Brill
Journal of Advanced Military Studies,27702596,2770260X,Dec-2021,Marine Corps University Press
Populism,25888064,25888072,Dec-2021,Brill
European Administrative Governance,25247263,25247271,Dec-2021,Springer:  Palgrave Macmillan
Children: Global Posthumanist Perspectives and Materialist Theories,25233408,25233416,Dec-2021,Springer
Index.comunicacion,24443239,21741859,Dec-2021,Universidad Rey Juan Carlos
Rethinking Peace and Conflict Studies,17593735,2752857X,Dec-2021,Springer:  Palgrave Macmillan
Rethinking Political Violence,27528588,27528596,Dec-2021,Springer:  Palgrave Macmillan
Advances in Science and Technology Research Journal,,22998624,Dec-2021,Lublin University of Technology
Ukrainian Antarctic Journal,17277485,24153087,Dec-2021,State Institution National Antarctic Scientific Center
Engineering Applications of Computational Methods,26623366,26623374,Dec-2021,Springer
Journal of Geo-Information Science,15608999,,Dec-2021,Science Press (China)
IEEE Open Journal of Vehicular Technology,,26441330,Dec-2021,IEEE Institute of Electrical and Electronics Engineers
IEEE Open Journal of Engineering in Medicine and Biology,,26441276,Dec-2021,IEEE Institute of Electrical and Electronics Engineers
Smart Cities,,26246511,Dec-2021,MDPI Multidisciplinary Digital Publishing Institute
Journal of Mining and Environment,22518592,22518606,Dec-2021,Shahrood University of Technology
IEEE Open Journal of the Industrial Electronics Society,,26441284,Dec-2021,IEEE Institute of Electrical and Electronics Engineers
IEEE Transactions on Quantum Engineering,,26891808,Dec-2021,IEEE Institute of Electrical and Electronics Engineers
Korean Journal of Transplantation,26718790,26718804,Dec-2021,Korean Society for Transplantation
