,Newly added scoupus indexed journals Title
0,Vietnam Journal of Computer Science
1,Composites Part C: Open Access
2,Sensors and Actuators Reports
3,Open Ceramics
4,Materials Science for Energy Technologies
5,Journal of Power Sources Advances
6,Revista del Cuerpo Medico Hospital Nacional Almanzor Aguinaga Asenjo
7,Carbon Resources Conversion
8,Revista Colombiana de Cirugia
9,Indonesian Journal of Agricultural Science
10,Pakistan Journal of Agricultural Research
11,New Security Challenges
12,Japanese Journal of Statistics and Data Science
13,Journal of Bone and Joint Infection
14,Journal of Occupational Health and Epidemiology
15,Biological Theory
16,Ecocycles
17,Banko Janakari
18,Cyprus Turkish Journal of Psychiatry and Psychology
19,Revista Iberoamericana de Viticultura Agroindustria y Ruralidad
20,Water Science
21,World Academy of Sciences Journal
22,Journal of Building Pathology and Rehabilitation
23,IEEE Transactions on Radiation and Plasma Medical Sciences
24,Central Asian Affairs
25,International Journal of Research in Undergraduate Mathematics Education
26,International Journal of Social Quality
27,Environmental Epidemiology
28,Biochar
29,Brazilian Journal of Operations and Production Management
30,Eurobiotech Journal
31,"Ecology, Economy and Society"
32,Cities and Health
33,Acque Sotterranee
34,Nature Reviews Earth and Environment
35,AWWA Water Science
36,International Review of Environmental History
37,Transfer
38,Revista Cuidarte
39,Antichnaya Drevnost’ i Srednie Veka
40,Asparkia
41,Detskie Chtenia
42,Central Eurasia Studies
43,Slovo.ru: Baltijskij Akcent
44,Novaya i Novejshaya Istoriya
45,Neizvestnyi Dostoevskii
46,RUDN Journal of Philosophy
47,Eastern African Literary and Cultural Studies
48,Palgrave Studies in Life Writing
49,Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki
50,Chinese Journal of Digestive Endoscopy
51,Ukrainian Journal of Nephrology and Dialysis
52,Russian Journal of Pain
53,Research Results in Biomedicine
54,Vichiana
55,Chelovek
56,Endoscopic Surgery
57,Innovative Medicine of Kuban
58,Journal of Arrhythmology
59,"Tromboz, Gemostaz I Reologiya"
60,Advanced Composites and Hybrid Materials
61,Convivium (Poland)
62,"Palgrave Studies in the Enlightenment, Romanticism and Cultures of Print"
63,Siberian Medical Review
64,Sudebnaa Medicina
65,Personalized Medicine in Psychiatry
66,Sources and Studies in the History of Mathematics and Physical Sciences
67,Korean Journal of Women Health Nursing
68,Islamic Guidance and Counseling Journal
69,Journal of the Institute of Latvian History
70,Carnets
71,Technai
72,Revista Chilena de Fonoaudiologia
73,Nordic Journal of Migration Research
74,Critical Studies on Security
75,Topics in Humor Research
76,Earth and Planetary Physics
77,Corporate Governance and Organizational Behavior Review
78,Symmetry: Culture and Science
79,International Journal of Operations Research and Information Systems
80,Rocznik Przekladoznawczy
81,Karanos
82,"Journal of Infrastructure, Policy and Development"
83,Linguistics and Culture Review
84,Potestas
85,Ciceroniana on Line
86,Russian Peasant Studies
87,Critical Stages
88,Ethiopian Journal of Reproductive Health
89,Estudis de Literatura Oral Popular
90,Journal of Applied Arts and Health
91,People and Nature
92,Revista de Medicina y Cine
93,Revista Electronica de Ciencia Penal y Criminologia
94,Revista Espanola de Investigacion Criminologica
95,Hasanuddin Law Review
96,Water Waves
97,China and WTO Review
98,Advances in Mathematical Sciences and Applications
99,Plants People Planet
100,"Arthroscopy, Sports Medicine, and Rehabilitation"
101,Vestnik Sankt-Peterburgskogo Universiteta. Pravo
102,Manchester Journal of Transnational Islamic Law and Practice
103,Gosudarstvo i Pravo
104,Forensic Science International: Mind and Law
105,Studien zur Deutschen Sprache und Literatur
106,Medievalismo
107,Journal of Agriculture and Food Research
108,Vestnik Sovremennoi Klinicheskoi Mediciny
109,JOR Spine
110,Vestnik Sankt-Peterburgskogo Universiteta. Ekonomika
111,Economic Alternatives
112,Israa University Journal Of Applied Science
113,Z Badan nad Ksiazka i Ksiegozbiorami Historycznymi
114,Palgrave Studies in Practice: Global Fashion Brand Management
115,Rheumatology and Therapy
116,Caspian Journal of Neurological Sciences
117,Journal of Biostatistics and Epidemiology
118,Journal of Translational Internal Medicine
119,Musicologist
120,International Journal of Advanced and Applied Sciences
121,Wireless Networks
122,JA Clinical Reports
123,Plastic Surgery and Aesthetic Medicine
124,Bioelectricity
125,Proceedings of the International Ship Control Systems Symposium
126,International Journal of Applied Engineering and Technology (London)
127,IET Collaborative Intelligent Manufacturing
128,Journal of Hospitality and Tourism Insights
129,Mental Health Clinician
130,Nordic Journal of Architectural Research
131,Transportation Safety and Environment
132,Journal of Soft Computing in Civil Engineering
133,Springer Proceedings in Advanced Robotics
134,Current Research in Green and Sustainable Chemistry
135,Civil Engineering Infrastructures Journal
136,Journal of Pancreatology
137,International Journal of Dermatology and Venerology
138,International Journal of Environmental Sciences 
139,China Finance and Economic Review
140,Advances in Methods and Practices in Psychological Science
141,Medialingvistika
142,Palgrave Studies of Internationalization in Emerging Markets
143,"Advances in African Economic, Social and Political Development"
144,Palgrave Macmillan Asian Business Series
145,Palgrave Advances in Luxury
146,International Journal of Professional Business Review
147,Russkaya Rech
148,Journal for Foreign Languages
149,International Journal of Occupational Safety and Health
150,AIRO Springer Series
151,Makara Journal of Science
152,Acta Innovations
153,OBM Neurobiology
154,International Series in Advanced Management Studies
155,Journal of Nanjing Forestry University (Natural sciences Edition)
156,Chinese Journal of Anatomy and Clinics
157,Chinese Journal of Endocrine Surgery
158,Chinese Journal of Practical Nursing
159,Journal of Knowledge and Health in Basic Medical Sciences
160,European Journal of Microbiology and Immunology
161,National Journal of Clinical Anatomy
162,Nutrire
163,Revista Bioetica
